City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Luang Prabang,LA,77.0,clear sky,19.8856,102.1347,Villa Oasis
585,Vieux-Habitants,GP,77.0,few clouds,16.0589,-61.7659,Gîtes Dardanelle
587,Teahupoo,PF,87.01,light rain,-17.8333,-149.2667,Vanira Lodge
590,Kingaroy,AU,84.99,scattered clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
593,Kirakira,SB,85.24,moderate rain,-10.4544,161.9205,SanBiz Lodge
594,Kpandu,GH,77.4,scattered clouds,6.9954,0.2931,Emo House
599,Sorab,IN,80.33,broken clouds,14.3833,75.1,Sorba Government Guest House
601,Srivardhan,IN,84.09,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
602,Wang Saphung,TH,89.01,few clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
606,Kendari,ID,78.01,overcast clouds,-3.945,122.4989,Hotel Wixel
607,Pizarro,CO,77.2,overcast clouds,4.9533,-77.366,Hotel Limonar
608,Guanaja,HN,80.6,few clouds,16.4,-85.9,Hotel Dunbar Rock Guanaja Honduras
611,Vilhena,BR,72.68,overcast clouds,-12.7406,-60.1458,Hotel Mirage
612,Anloga,GH,80.6,few clouds,5.7947,0.8973,Pin Drop Hotel
613,Ambanja,MG,74.41,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
615,Callaguip,PH,84.2,few clouds,18.0714,120.4867,Pangil Beach Resort
620,Point Fortin,TT,79.0,moderate rain,10.1833,-61.6833,Jus Les' Suites
625,Wad Madani,SD,73.71,clear sky,14.4012,33.5199,فندق يوغسلافيا
635,Atambua,ID,73.17,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
643,Axim,GH,78.44,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
647,Porbandar,IN,79.47,clear sky,21.6422,69.6093,Lords Inn Porbandar
648,Sechura,PE,74.37,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
652,Dubbo,AU,73.4,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
653,Tura,IN,86.52,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
654,Moa,CU,75.92,few clouds,20.6569,-74.9403,Renta en Divisa
656,Buala,SB,85.89,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
658,Juba,SS,77.22,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
661,Nizwa,OM,82.17,scattered clouds,22.9333,57.5333,Orient Apartments
663,Metro,ID,85.15,light rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
666,Oyama,JP,75.0,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
